#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
103        3524.30 3608.12 12.599  0.025   1.540   0.039   1.096   0.028   1.436   0.025  
104        1477.33 2983.80 12.809  0.012   0.572   0.028   0.028   0.024   0.450   0.013  
105        811.493 1643.39 13.257  0.025   1.922   0.044   1.295   0.036   1.989   0.025  
106        452.706 2639.96 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
107        2949.27 3823.17 12.783  0.033   0.551   0.053   -0.236  0.040   0.558   0.032  
108        3306.02 1650.67 12.900  0.012   1.177   0.023   0.462   0.021   1.148   0.013  
109        2084.42 3246.04 13.235  0.014   2.200   0.024   1.258   0.022   2.278   0.015  
110        672.304 3147.92 13.162  0.017   0.592   0.049   0.171   0.045   0.643   0.019  
111        3236.90 1609.33 13.101  0.011   0.720   0.024   -0.063  0.023   0.771   0.013  
112        1664.41 2616.23 12.886  0.018   1.366   0.033   0.829   0.027   1.285   0.017  
113        3918.97 3335.23 13.341  0.029   0.623   0.041   0.105   0.026   0.676   0.028  
114        1722.56 1782.21 13.097  0.010   0.636   0.022   -0.164  0.019   0.581   0.011  
115        3630.83 3952.55 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
116        3899.20 3143.91 13.234  0.023   0.691   0.038   0.166   0.029   0.638   0.023  
117        2695.55 2194.02 13.183  0.014   1.880   0.027   1.044   0.024   1.841   0.015  
118        305.042 98.602  12.618  0.048   1.266   0.070   0.989   0.047   INDEF   INDEF  
119        4036.22 2652.69 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
120        847.422 1555.83 12.953  0.027   0.674   0.055   0.033   0.047   0.818   0.026  
121        3194.76 926.785 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
122        3107.64 397.917 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
123        2721.19 1369.93 13.412  0.023   0.637   0.049   0.196   0.042   0.493   0.024  
124        42.715  2920.22 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
125        3316.29 3612.85 13.135  0.017   0.970   0.029   0.191   0.024   0.700   0.018  
126        2631.77 4076.89 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
127        212.137 1417.09 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
128        3376.80 550.490 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
129        1394.10 969.723 13.904  0.017   2.350   0.031   0.762   0.032   3.148   0.019  
130        1197.51 2049.94 12.943  0.018   0.686   0.037   0.209   0.032   0.708   0.017  
131        415.544 355.859 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
132        3527.50 2630.54 13.109  0.016   1.786   0.024   1.236   0.019   1.732   0.017  
133        3617.03 816.247 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
134        1259.99 2124.14 12.949  0.021   0.664   0.033   -0.045  0.025   0.700   0.020  
135        190.129 2364.64 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
136        878.947 3830.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
137        2868.96 2254.18 13.125  0.010   0.768   0.025   0.281   0.024   0.655   0.012  
138        4051.06 2540.75 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
