     ID            x            y            V           eV           BV          eBV           VI          eVI           UB          eUB  
  10192    1287.9900    3414.7710      19.2925       0.0133       1.5984       0.0478          nan          nan          nan          nan  
  10193     309.7370     386.6550      19.3125       0.0276       1.4386       0.0627          nan          nan          nan          nan  
  10194    1560.9050    2828.1690      19.2802       0.0236       1.5154       0.0580          nan          nan          nan          nan  
  10195    1195.7090    2531.7640      19.2944       0.0181       1.5569       0.0526       1.6228       0.1000          nan          nan  
  10196     134.7050    3870.6850      19.3704       0.0236       1.3105       0.0676          nan          nan          nan          nan  
  10197    3551.4860     521.0250          nan       0.0172          nan          nan       1.8703       0.0893          nan          nan  
  10198    1925.3060    3188.1680      19.3327       0.0158       1.4069       0.0511          nan          nan       0.4353       0.0881  
  10199    2337.1820    3979.1610      19.2948       0.0160       1.5508       0.0504          nan          nan          nan          nan  
  10200      85.0170    1494.3040          nan       0.0240          nan          nan       1.6570       0.1762          nan          nan  
  10201     707.0120    3330.5020          nan       0.0140          nan          nan       1.9189       0.0745          nan          nan  
  10202    1237.0490    2345.5450      19.2923       0.0162       1.5142       0.0460          nan          nan       0.7095       0.1337  
  10203     157.5840    1912.8790          nan       0.0212          nan          nan       1.6597       0.1069          nan          nan  
  10204    2289.6640    1399.7960      19.1485       0.0219       1.8448       0.0520       1.7704       0.0851          nan          nan  
  10205     262.7780    3579.7250      19.4259       0.0192       1.5496       0.0675       2.2537       0.0651          nan          nan  
  10206     645.2420     409.9560      19.3659       0.0226       1.3324       0.0615          nan          nan          nan          nan  
  10207    1959.2260    1765.2480      19.2567       0.0172       1.6387       0.0476       1.5904       0.1020          nan          nan  
  10208    1122.6320    2354.1310      19.2867       0.0206       1.5960       0.0525       1.8955       0.0848          nan          nan  
  10209    3094.3960    2377.7830      19.2496       0.0167       2.1913       0.0523       2.3788       0.0555          nan          nan  
  10210    3877.0330    2915.8060      19.3725       0.0152       1.3093       0.0436          nan          nan       0.3423       0.0931  
  10211     162.6500    2280.3040      19.4225       0.0265       1.1934       0.0715          nan          nan          nan          nan  
  10212    1367.6300    3468.8660      19.3600       0.0153       1.3166       0.0492          nan          nan       0.6576       0.1071  
  10213    3073.1390    3966.2960      19.3672       0.0183       1.3276       0.0520          nan          nan          nan          nan  
  10214    3127.5550    1833.6560      19.2786       0.0188       1.5679       0.0531          nan          nan          nan          nan  
  10215    2299.3200    1476.5890      19.2682       0.0219       1.5594       0.0558          nan          nan          nan          nan  
  10216    1433.8260     175.7190      19.2535       0.0230       1.6130       0.0649          nan          nan       0.7398       0.1631  
  10217    3669.6940    1438.4140          nan       0.0204          nan          nan       2.1457       0.0954          nan          nan  
  10218    3965.0080    1500.7910          nan       0.0172          nan          nan          nan          nan          nan          nan  
  10219    2454.5180     928.4880      19.2357       0.0289       1.6106       0.0698          nan          nan          nan          nan  
  10220    1770.9030    3875.5230      19.3121       0.0133       1.5032       0.0468          nan          nan       0.9415       0.1360  
  10221    2810.5860    2234.4140      19.2445       0.0201       1.6277       0.0528          nan          nan          nan          nan  
  10222      31.5980    3443.4010      19.4062       0.0221       1.3422       0.0631       1.9279       0.0836       0.4226       0.1256  
  10223     573.7810    1692.4230      19.3101       0.0223       1.4886       0.0641          nan          nan          nan          nan  
  10224    1269.4950    3402.5230      19.3295       0.0148       1.4532       0.0501       1.2664       0.1555          nan          nan  
  10225     455.0990     798.0150      19.4479       0.0223       1.1287       0.0609          nan          nan          nan          nan  
  10226    3584.9290    2851.5710      19.3062       0.0127       1.5594       0.0422       1.6597       0.1015          nan          nan  
  10227    1845.3930    3821.2560      19.2408       0.0276       1.6960       0.0809          nan          nan          nan          nan  
  10228     139.8670    1646.2450          nan       0.0226          nan          nan       1.5958       0.1151          nan          nan  
  10229    1114.2380     925.4820      19.3205       0.0260       1.4105       0.0689          nan          nan       0.6331       0.1103  
  10230    1626.2410    3919.9150      19.2881       0.0195       1.5459       0.0548          nan          nan          nan          nan  
  10231    3583.3020    2806.8610      19.2752       0.0140       1.5594       0.0384          nan          nan       0.5714       0.1022  
  10232    1087.8670    3252.2340      19.3259       0.0153       1.5203       0.0486       1.7704       0.0835          nan          nan  
  10233    3115.0460     258.7110          nan          nan          nan          nan          nan          nan          nan          nan  
  10234    4018.3480    3430.4510      19.3550       0.0134       1.3886       0.0415       1.6939       0.0983       0.2503       0.1013  
  10235    1290.2110     990.6880      19.3003       0.0290       1.4715       0.0694          nan          nan       0.5352       0.1718  
  10236     480.4470     200.0650      19.1660       0.0245       1.9388       0.0736          nan          nan          nan          nan  
  10237     998.5290    3095.1950      19.3391       0.0161       1.4154       0.0484          nan          nan          nan          nan  
  10238    1108.6870    3463.0600      19.3135       0.0156       1.5557       0.0490       1.7533       0.0877          nan          nan  
  10239    2064.7990     864.8200      19.4364       0.0251       1.9485       0.0745       2.9071       0.0735          nan          nan  
  10240    3974.1850    1552.1950          nan       0.0159          nan          nan          nan          nan          nan          nan  
  10241     733.7900     660.6290      19.4159       0.0189       1.1580       0.0573          nan          nan       0.7819       0.1243  
  10242    2468.5500    3419.5480      19.3395       0.0144       1.4386       0.0599          nan          nan       0.3462       0.1320  
  10243    2490.1480     480.2120          nan       0.0285          nan          nan          nan          nan          nan          nan  
  10244    2195.2640    1152.4780      19.2462       0.0165       1.7192       0.0512          nan          nan          nan          nan  
  10245     901.8850    4055.0080      19.3649       0.0206       1.3312       0.0705          nan          nan          nan          nan  
  10246     644.9850    2309.3960      19.3540       0.0204       1.3739       0.0609          nan          nan          nan          nan  
  10247    1510.9270     258.1230      19.3970       0.0269       1.8961       0.0794       2.2177       0.0700          nan          nan  
  10248    1573.9040     923.6270      19.2705       0.0259       1.5838       0.0621       1.6021       0.1037          nan          nan  
  10249    3044.2080    3339.3330      19.2912       0.0144       1.5594       0.0423          nan          nan          nan          nan  
  10250    3492.9190    2242.4530      19.3093       0.0100       1.6887       0.0506          nan          nan          nan          nan  
  10251     435.3050    1029.2470      19.3940       0.0228       1.2580       0.0637          nan          nan       0.3913       0.0769  
  10252     962.5480    1919.6690      19.3169       0.0212       1.4764       0.0594          nan          nan          nan          nan  
  10253     825.8910     899.6770      19.2758       0.0240       1.9717       0.0732       2.1475       0.0803          nan          nan  
  10254    1344.1270     185.3890      19.4644       0.0253       1.1507       0.0604          nan          nan       0.6458       0.1901  
  10255    1190.2740    3520.3420      19.3822       0.0151       1.2836       0.0483          nan          nan          nan          nan  
  10256    1935.2620     554.9790      19.2718       0.0279       1.6960       0.0716       1.8766       0.0968          nan          nan  
  10257    3946.6770     367.2380          nan       0.0198          nan          nan       2.2015       0.1124          nan          nan  
  10258    1992.1520    3425.0720      19.3157       0.0120       1.5093       0.0426          nan          nan       0.5469       0.0890  
  10259     839.7860    2012.9820      19.2533       0.0187       1.7899       0.0661          nan          nan          nan          nan  
  10260     447.0320     957.1790      19.4067       0.0194       1.2336       0.0542          nan          nan       0.5851       0.1503  
  10261    2698.0770    1145.5320      19.2561       0.0220       1.6484       0.0625          nan          nan          nan          nan  
  10262     885.2550    1236.4570      19.3543       0.0272       1.3544       0.0709          nan          nan       0.7613       0.1502  
  10263    2401.8490    2332.8500      19.3145       0.0253       1.4252       0.0547          nan          nan       0.5323       0.0806  
  10264     540.0440     666.7490      19.3064       0.0226       1.4984       0.0606          nan          nan          nan          nan  
  10265    2008.8690    3437.7320      19.3543       0.0117       1.3690       0.0418          nan          nan       0.6233       0.1121  
  10266    2421.1490    3800.8190      19.3329       0.0148       1.4483       0.0444          nan          nan          nan          nan  
  10267    1972.0020    3518.0240      19.3527       0.0334       1.3776       0.0798          nan          nan       0.4187       0.1638  
  10268     556.1180    2892.0230          nan          nan          nan          nan          nan          nan          nan          nan  
  10269     905.7910    1288.0310      19.3138       0.0247       1.4788       0.0683          nan          nan       0.4657       0.1632  
  10270    3351.6350    2699.8090      19.3478       0.0141       1.3910       0.0403          nan          nan       0.5352       0.0998  
  10271    2172.7390    1703.7240      19.2713       0.0215       2.1376       0.0603       2.2501       0.0595          nan          nan  
  10272    3545.7060    2971.9780      19.3248       0.0124       1.5069       0.0404       1.7137       0.0885       0.6331       0.1176  
  10273    1075.7320    1765.7560      19.2431       0.0211       1.6618       0.0569          nan          nan          nan          nan  
  10274     391.5490    2531.8340      19.3714       0.0223       1.3105       0.0672          nan          nan       0.4490       0.0941  
  10275     815.0920    2453.6070      19.3300       0.0202       1.5484       0.0587       1.8730       0.0903          nan          nan  
  10276    3257.2850    3798.4970      19.3662       0.0185       1.3568       0.0501          nan          nan          nan          nan  
  10277    2581.6390    3670.7100      19.3931       0.0152       1.2568       0.0483       1.4158       0.1324       0.4099       0.0832  
  10278     297.1020    1743.8980      19.3688       0.0205       1.3483       0.0601          nan          nan          nan          nan  
  10279    2315.7780     524.3440      19.2937       0.0274       1.6826       0.1054          nan          nan          nan          nan  
  10280     905.8360     676.1550      19.3640       0.0211       1.4313       0.0619       1.8199       0.1009          nan          nan  
  10281    2408.6350    2510.0120      19.3492       0.0252       1.3715       0.0551          nan          nan       0.6262       0.0901  
  10282    2040.7410    1263.9600      19.2096       0.0249       1.6692       0.0561       1.7740       0.1487          nan          nan  
  10283    2707.9260    1675.0760      19.3415       0.0185       1.4239       0.0515          nan          nan          nan          nan  
  10284    2329.3580     830.0790      19.2549       0.0299       1.5642       0.0664          nan          nan          nan          nan  
  10285     529.9540    3606.9520      19.3734       0.0197       1.3251       0.0681          nan          nan          nan          nan  
  10286    1860.5790    3588.4500      19.3570       0.0146       1.3886       0.0481          nan          nan          nan          nan  
  10287    2472.0030    3695.2260      19.3506       0.0146       1.4093       0.0461          nan          nan          nan          nan  
  10288    3409.6270    2010.5390      19.3311       0.0185       1.4447       0.0481          nan          nan          nan          nan  
  10289    2578.5030    1990.8220      19.3219       0.0204       1.4764       0.0519       1.5301       0.1189          nan          nan  
  10290    1445.1990    3134.7930      19.3020       0.0163       1.5618       0.0500          nan          nan          nan          nan  
  10291    1447.9770    1567.1920      19.2873       0.0224       1.4862       0.0476          nan          nan       0.5832       0.0923  
  10292    3333.5350     476.7250          nan       0.0205          nan          nan       1.6309       0.1924          nan          nan  
  10293     937.7610    1862.2380      19.2872       0.0210       1.5886       0.0610          nan          nan          nan          nan  
  10294     492.1610     791.6030      19.4004       0.0236       1.2666       0.0608          nan          nan       0.8759       0.1406  
  10295    3867.1430    2297.5540      19.3516       0.0136       1.4093       0.0404          nan          nan          nan          nan  
  10296    1297.5900    1913.9850      19.2879       0.0182       1.5350       0.0467          nan          nan       0.4402       0.0982  
  10297    1943.3570    1937.0400      19.2793       0.0159       1.5874       0.0448       1.5346       0.1859       0.5695       0.1069  
  10298     616.5100    1910.2870      19.3428       0.0228       1.4349       0.0667          nan          nan          nan          nan  
  10299    3962.7730     398.9950          nan          nan          nan          nan          nan          nan          nan          nan  
  10300    1601.2170    2373.4040      19.2588       0.0169       1.7826       0.0508       1.8793       0.0831          nan          nan  
  10301    2827.7760    1209.0660          nan       0.0215          nan          nan          nan          nan          nan          nan  
  10302    1231.8200     780.1270      19.3100       0.0201       1.4752       0.0495          nan          nan       0.5283       0.0986  
  10303    3089.1890    1090.6090      19.4199       0.0261       2.3036       0.0719       2.6272       0.0613          nan          nan  
  10304     657.0500    1974.2280      19.3364       0.0180       1.4691       0.0570          nan          nan          nan          nan  
  10305    3078.7730     137.4380          nan       0.0213          nan          nan          nan          nan          nan          nan  
  10306     845.4950    1672.0920      19.3086       0.0218       1.5252       0.0609          nan          nan          nan          nan  
  10307    1370.7760    1724.6090      19.2347       0.0232       1.6533       0.0572          nan          nan          nan          nan  
  10308    1651.7260    3406.8440      19.3843       0.0133       1.3117       0.0426          nan          nan          nan          nan  
  10309    1917.9700    1965.9660      19.2754       0.0165       1.5850       0.0428          nan          nan          nan          nan  
  10310    1374.2020     131.0520      19.3420       0.0233       1.4325       0.0617          nan          nan          nan          nan  
  10311    2905.5270    3529.1650      19.3080       0.0144       1.5618       0.0433       1.7047       0.1423          nan          nan  
  10312    2445.5390    2037.2490      19.2826       0.0216       1.5398       0.0497       1.4275       0.1220          nan          nan  
  10313    2689.6020    2675.5630      19.3066       0.0189       1.4813       0.0453          nan          nan       0.5636       0.0950  
  10314    1613.2630    3011.3270      19.2670       0.0150       1.6789       0.0453          nan          nan          nan          nan  
  10315     656.4440    3187.0710      19.3590       0.0161       1.4032       0.0542          nan          nan          nan          nan  
  10316    1471.4980    1937.3350      19.3032       0.0200       1.5301       0.0533          nan          nan          nan          nan  
  10317    1329.8630     583.6960      19.3443       0.0273       1.4130       0.0708       1.4815       0.1922       0.4539       0.1113  
  10318     975.7690    1445.3120      19.3276       0.0202       1.4520       0.0604          nan          nan       0.5841       0.1007  
  10319    1479.2530    1512.0870      19.3826       0.0258       1.3507       0.0529          nan          nan          nan          nan  
  10320    1309.3360    2096.5690      19.3298       0.0205       1.4496       0.0517       1.4257       0.1268       0.4970       0.1016  
  10321    1717.0170    2802.5620      19.3679       0.0369       1.3751       0.0828          nan          nan          nan          nan  
  10322    2350.8880    4023.4360      19.3398       0.0157       1.4642       0.0484          nan          nan          nan          nan  
  10323    2375.1040    3658.7210      19.3153       0.0163       1.6155       0.0481       1.8613       0.0767          nan          nan  
  10324    3617.0550      91.8660          nan          nan          nan          nan          nan          nan          nan          nan  
  10325    2956.0040    3861.0540      19.3714       0.0163       1.3678       0.0512          nan          nan          nan          nan  
  10326    1746.6490    2171.2810      19.4151       0.0178       1.2568       0.0476          nan          nan       0.3923       0.0749  
  10327     228.7060     452.5690      19.3938       0.0245       1.3044       0.0581          nan          nan       0.5910       0.0955  
  10328    1115.0690    2451.1010      19.3032       0.0212       1.5594       0.0606          nan          nan          nan          nan  
  10329    3139.5080    2041.5480          nan       0.0198          nan          nan          nan          nan          nan          nan  
  10330    2986.2470     182.1160      19.3602       0.0216       1.8204       0.0996       2.0242       0.0858       0.1593       0.1575  
  10331    3817.4530    2256.1020          nan       0.0144          nan          nan       2.0386       0.1247          nan          nan  
  10332    2458.7640    3461.7290      19.3920       0.0127       1.2873       0.0425          nan          nan       0.4667       0.1045  
  10333      99.4640    1574.8360      19.4086       0.0191       1.2495       0.0597          nan          nan          nan          nan  
  10334     373.5090    1713.2900      19.3744       0.0192       1.3251       0.0630          nan          nan       0.5303       0.0994  
  10335     293.0880    1529.2570      19.4168       0.0244       1.2470       0.0697          nan          nan          nan          nan  
  10336    2017.0260    1323.4970      19.2810       0.0221       1.5472       0.0525          nan          nan       0.4725       0.1412  
  10337     127.2330    2405.3810          nan       0.0239          nan          nan          nan          nan          nan          nan  
  10338    3663.0690    2733.6110      19.3653       0.0132       1.3837       0.0411          nan          nan       0.4735       0.1030  
  10339    3556.1640    3343.6870      19.3903       0.0124       1.2971       0.0403       1.4095       0.1355       0.4862       0.0815  
  10340    1335.7250    3077.3230      19.3004       0.0170       1.6862       0.0529       1.8235       0.0842          nan          nan  
  10341    1144.5370    3624.9750      19.3649       0.0154       1.3751       0.0651          nan          nan       0.5479       0.1188  
  10342     996.4220    3325.4110      19.3637       0.0147       1.4508       0.0504       1.7245       0.0908          nan          nan  
  10343    1457.8690     552.7550      19.3222       0.0270       1.4874       0.0692          nan          nan          nan          nan  
  10344    1575.7410    2480.6370      19.2773       0.0185       2.0791       0.0627       2.2267       0.0710          nan          nan  
  10345     426.5320    3702.2050      19.4416       0.0223       1.2788       0.0649       1.8676       0.0894       0.3276       0.1259  
  10346    1567.8620     629.6380      19.2678       0.0247       1.7106       0.0753       1.8172       0.1407       0.8847       0.1683  
  10347    3439.6600    2448.3670      19.2760       0.0192       1.6789       0.0545       1.9657       0.1294          nan          nan  
  10348     531.7960    4076.5790      19.3882       0.0226       1.3129       0.0798          nan          nan          nan          nan  
  10349     306.5520     375.9050      19.4304       0.0256       1.2666       0.0589          nan          nan          nan          nan  
  10350     935.8000    3522.5710      19.3633       0.0171       1.3983       0.0564          nan          nan       0.5489       0.1504  
  10351    1233.4570     844.6480      19.2987       0.0285       1.4935       0.0734          nan          nan       0.6595       0.1101  
  10352    2701.1290    3512.2780      19.3293       0.0150       1.4849       0.0436          nan          nan       0.8583       0.1356  
  10353    4040.3620    2536.6590      19.3911       0.0262       1.3007       0.0956          nan          nan          nan          nan  
  10354    3012.8180    3896.3620      19.4013       0.0206       1.3410       0.0582       1.6480       0.0975          nan          nan  
  10355      26.1180    1544.0210      19.4185       0.0223       1.2507       0.0647          nan          nan          nan          nan  
  10356     113.1660      55.2230          nan       0.0302          nan          nan          nan          nan          nan          nan  
  10357     131.4600    2909.5600      19.3428       0.0233       1.4349       0.0670          nan          nan       1.0257       0.1733  
  10358    2495.4700    3704.4220      19.2945       0.0186       1.8009       0.0534       1.9594       0.0655          nan          nan  
  10359    2766.5170    3941.6050          nan          nan          nan          nan          nan          nan       0.6204       0.1044  
  10360    3311.1670    2741.6420      19.3077       0.0149       1.5960       0.0437       1.6462       0.0939          nan          nan  
  10361    3282.8550    1308.9520          nan          nan          nan          nan          nan          nan          nan          nan  
  10362     878.4050    2248.3040      19.3511       0.0248       2.0681       0.0681       2.2735       0.0630          nan          nan  
  10363    2182.5940    1320.0690      19.3563       0.0238       1.4130       0.0562          nan          nan          nan          nan  
  10364    3095.2390    3116.4820      19.3889       0.0141       1.3312       0.0387       1.4014       0.2194       0.5587       0.0986  
  10365    1245.9900    2229.3550      19.3105       0.0175       1.5264       0.0481          nan          nan       0.5000       0.1052  
  10366    1973.8380    3180.4670      19.3711       0.0135       1.3873       0.0388          nan          nan          nan          nan  
  10367    1215.7240    3054.6120      19.4193       0.0151       1.6740       0.0520       2.4130       0.0546          nan          nan  
  10368    1814.1030    1295.1940      19.1994       0.0251       1.6875       0.0553          nan          nan          nan          nan  
  10369     320.5840    1104.1930      19.3292       0.0125       1.6326       0.0532          nan          nan          nan          nan  
  10370    1174.0910    2050.2550      19.3433       0.0187       1.4276       0.0490          nan          nan       0.5362       0.0817  
  10371    3332.2990    3769.0490      19.3453       0.0152       1.4703       0.0455          nan          nan          nan          nan  
  10372    3493.9430    1461.9120          nan          nan          nan          nan          nan          nan          nan          nan  
  10373    3836.4060    3286.9260      19.3738       0.0152       1.4496       0.0461       1.8298       0.0795          nan          nan  
  10374     398.5340    2624.0370          nan       0.0215          nan          nan          nan          nan          nan          nan  
  10375    2494.9530    1197.1660      19.2929       0.0163       1.7375       0.0594          nan          nan          nan          nan  
  10376    2524.2270     615.1330          nan       0.0306          nan          nan          nan          nan          nan          nan  
  10377    1371.5270     785.8260      19.3512       0.0304       1.3995       0.0698          nan          nan       0.6194       0.1102  
  10378    2383.3960    2233.3980      19.3846       0.0289       1.3654       0.0677          nan          nan          nan          nan  
  10379     531.5020    2699.6290          nan       0.0189          nan          nan       1.8037       0.1497          nan          nan  
  10380     550.2950    1814.2710      19.3459       0.0233       1.4764       0.0694          nan          nan          nan          nan  
  10381    2887.5440    1922.3410      19.3388       0.0207       1.4776       0.0559          nan          nan          nan          nan  
  10382    2531.3460    2380.6150      19.3962       0.0221       1.3422       0.0525          nan          nan       0.3041       0.0791  
  10383     930.8540     700.4970      19.3459       0.0247       1.5923       0.2497          nan          nan       0.6595       0.2916  
  10384     526.0220    1087.2270      19.3955       0.0229       1.3373       0.0622          nan          nan          nan          nan  
  10385    3410.3190     131.9000          nan       0.0244          nan          nan       1.6282       0.1257          nan          nan  
  10386    1738.3450    3804.4690      19.4073       0.0180       1.2971       0.0506          nan          nan       0.4471       0.1030  
  10387     360.2850    1016.6480      19.3848       0.0212       1.3617       0.0725          nan          nan          nan          nan  
  10388    3404.6010    2376.9510      19.3261       0.0170       1.5313       0.0492          nan          nan          nan          nan  
  10389    1482.3030    1213.0950      19.4495       0.0226       1.6997       0.1188       2.2105       0.0818          nan          nan  
  10390    1380.8000     681.6160      19.3884       0.0244       1.3825       0.0625       1.5814       0.1198          nan          nan  
  10391    2987.1680     143.8010          nan       0.0207          nan          nan          nan          nan          nan          nan  
  10392    2325.8180    2612.9180      19.2992       0.0233       1.5154       0.0536          nan          nan       0.4647       0.0876  
  10393     810.6580    1248.1030      19.3220       0.0257       1.6350       0.0722       1.8136       0.1054          nan          nan  
  10394    1493.4900    1627.2960      19.3779       0.0168       1.3751       0.0533          nan          nan       0.4383       0.0935  
  10395     116.7200    1719.4860      19.4011       0.0212       1.3288       0.0589          nan          nan          nan          nan  
  10396     208.0100    2046.8340          nan       0.0274          nan          nan       2.0539       0.1042          nan          nan  
  10397    1859.1150    3704.2450      19.3314       0.0143       1.5850       0.0505          nan          nan          nan          nan  
  10398    2848.7660    3673.3750      19.3307       0.0148       1.5374       0.0436       1.7047       0.1702          nan          nan  
  10399    2174.7680    2585.3990      19.3066       0.0215       1.5386       0.0528          nan          nan          nan          nan  
  10400    2319.5530    1427.0050      19.2614       0.0188       1.7009       0.0526          nan          nan          nan          nan  
  10401    1637.7880     881.0810      19.3069       0.0297       1.7375       0.0799       1.8613       0.0976          nan          nan  
  10402    3214.5370      31.7570          nan          nan          nan          nan          nan          nan          nan          nan  
  10403     428.7350    2456.0580      19.3912       0.0201       1.2263       0.1148          nan          nan       0.7848       0.1665  
  10404    3092.1390    3919.7480      19.3602       0.0181       1.4435       0.0503       1.4995       0.1195       0.5655       0.1648  
  10405    1625.1420    1401.9010      19.2919       0.0215       1.5496       0.0517          nan          nan       0.9062       0.1484  
  10406    3709.3690    3931.9540          nan          nan          nan          nan          nan          nan       0.6008       0.1122  
  10407    3628.7860    4105.5270          nan          nan          nan          nan          nan          nan       0.4774       0.0826  
  10408    3507.2700    3968.9270          nan          nan          nan          nan          nan          nan          nan          nan  
  10409     768.7970    1963.4740      19.3177       0.0196       1.5667       0.0634          nan          nan       0.7956       0.1363  
  10410    2238.2730    3068.6690      19.4156       0.0140       1.2922       0.0393          nan          nan       0.4814       0.1442  
  10411    2024.2330     888.8500      19.2544       0.0261       1.6728       0.0667          nan          nan          nan          nan  
  10412     356.1110    2306.6060      19.4362       0.0239       1.2409       0.0670          nan          nan          nan          nan  
  10413    1471.1370    2813.2070      19.3292       0.0204       1.5154       0.0545          nan          nan          nan          nan  
  10414    3633.9090    2547.4890      19.3583       0.0127       1.4849       0.0431       1.5742       0.1867          nan          nan  
  10415    1031.8340    1094.9370      19.3885       0.0251       1.3373       0.0655          nan          nan       0.6116       0.1040  
  10416      31.6940    3553.0250      19.3012       0.0650       1.5008       0.1252          nan          nan          nan          nan  
  10417    2105.8710    1874.4150      19.2489       0.0157       1.7082       0.0416          nan          nan          nan          nan  
  10418    2936.1920     366.1910          nan          nan          nan          nan          nan          nan          nan          nan  
  10419    1028.3540    2669.0390      19.3118       0.0187       1.5801       0.0529          nan          nan          nan          nan  
  10420    1703.7890    1187.6400      19.3371       0.0301       1.4593       0.0639          nan          nan          nan          nan  
  10421     774.6040    1902.7080      19.3840       0.0188       1.3886       0.0621          nan          nan          nan          nan  
  10422    3380.8730    1571.6470          nan       0.0156          nan          nan          nan          nan          nan          nan  
  10423    1022.0190    1875.6200      19.2584       0.0242       1.6143       0.0560       1.4824       0.1187       0.9875       0.1365  
  10424    2009.3870    2018.7370      19.3423       0.0158       1.4849       0.0454          nan          nan       0.7721       0.1237  
  10425    1517.8820    2165.8670      19.4342       0.0170       1.2544       0.0462          nan          nan       0.3883       0.0755  
  10426    3116.7190    3860.2130      19.4632       0.0159       1.1397       0.0489          nan          nan          nan          nan  
  10427     661.6990     519.4610      19.3793       0.0236       1.3983       0.0621          nan          nan          nan          nan  
  10428    3565.2680    2492.4240      19.3521       0.0122       1.5459       0.0449       1.5841       0.1040       0.5176       0.1688  
  10429     822.2200     378.1510      19.3921       0.0233       1.3434       0.0648          nan          nan       0.6811       0.1339  
  10430    1575.1000    4022.3430          nan       0.0153          nan          nan       1.9774       0.0708          nan          nan  
  10431    2537.2110    3866.7370      19.3052       0.0169       1.6460       0.0547          nan          nan       1.1862       0.2006  
  10432     358.2270    2346.1370      19.4855       0.0232       1.0628       0.0726          nan          nan          nan          nan  
  10433     707.8470     738.5700      19.3783       0.0227       1.3690       0.0633          nan          nan       0.8162       0.1244  
  10434    3911.7430    3034.2900      19.3308       0.0146       1.8400       0.0542       2.0287       0.0677          nan          nan  
  10435    3741.0850     901.0750          nan       0.0147          nan          nan          nan          nan          nan          nan  
  10436    3563.1060    2264.0070      19.2463       0.0142       1.8766       0.0461          nan          nan          nan          nan  
  10437    2454.2380    3737.7100      19.3090       0.0152       1.6643       0.0499          nan          nan          nan          nan  
  10438    1429.8370    1931.6420      19.2806       0.0152       1.6399       0.0416          nan          nan       0.5391       0.1003  
  10439    3767.1050    2543.0310      19.3598       0.0142       1.4776       0.0449          nan          nan          nan          nan  
  10440    2886.8280    2056.9600      19.3160       0.0187       1.6204       0.0587          nan          nan          nan          nan  
  10441     455.2870    1581.6230      19.3821       0.0216       1.3581       0.0648          nan          nan       0.5626       0.0966  
  10442    1100.5960    2614.8510          nan       0.0168          nan          nan       2.2834       0.0703          nan          nan  
  10443    3133.1830     744.5830          nan       0.0269          nan          nan       1.8820       0.1477          nan          nan  
  10444    2540.3150     435.6830          nan       0.0251          nan          nan          nan          nan          nan          nan  
  10445     906.0490    2552.9240      19.3670       0.0204       1.4325       0.0529          nan          nan          nan          nan  
  10446    2747.4480    2340.9650      19.3138       0.0216       1.5069       0.0476       1.4437       0.1308       0.5597       0.1021  
  10447    2654.5360     532.2240          nan          nan          nan          nan          nan          nan       0.5518       0.0925  
  10448    2439.8380    3795.2350      19.4175       0.0156       1.2946       0.0449          nan          nan       0.5773       0.1208  
  10449     842.9830     940.5060      19.3992       0.0250       1.3276       0.0684          nan          nan       0.4618       0.0918  
  10450    1215.8790    3631.6870          nan       0.0191          nan          nan       1.8154       0.1548          nan          nan  
  10451    1171.9180     848.7440      19.2876       0.0225       1.7570       0.0658       1.7470       0.1013          nan          nan  
  10452    3591.8430     125.8520          nan       0.0237          nan          nan          nan          nan          nan          nan  
  10453    1395.9780    3010.9440      19.3439       0.0184       1.5057       0.0516          nan          nan          nan          nan  
  10454    1463.1050    2023.3800      19.3190       0.0160       1.5484       0.0433       1.4878       0.1792       0.4383       0.0878  
  10455     595.7250    1602.1950      19.3593       0.0215       1.4703       0.0623          nan          nan          nan          nan  
  10456    2214.6500    2183.9580      19.3021       0.0243       1.5325       0.0575          nan          nan       0.4990       0.0934  
  10457    2190.8050     235.4710      19.3709       0.0279       1.4471       0.0864          nan          nan          nan          nan  
  10458    2876.3190    3664.8260      19.3633       0.0170       1.4422       0.0495          nan          nan       0.7946       0.1328  
  10459    2548.9320     997.7550          nan       0.0285          nan          nan          nan          nan          nan          nan  
  10460    2013.0250    1493.7300      19.2913       0.0212       1.5874       0.0510       1.4635       0.1980          nan          nan  
  10461    3635.7220    3055.3450      19.3441       0.0149       2.1254       0.0586       2.3158       0.0574          nan          nan  
  10462     989.1580    1046.5960      19.3833       0.0205       1.4130       0.0625       1.5868       0.1160       0.5000       0.1158  
  10463    2782.0160     281.1880          nan          nan          nan          nan          nan          nan          nan          nan  
  10464    2105.6940    2165.3150      19.3060       0.0221       1.5630       0.0604          nan          nan       0.6194       0.1075  
  10465    1349.6330    4066.3430      19.3764       0.0172       1.4557       0.0644          nan          nan          nan          nan  
  10466    3152.2270    2534.1990      19.3930       0.0156       1.7936       0.0454       2.4850       0.0518          nan          nan  
  10467    2446.7900    3252.0520      19.3451       0.0132       1.5606       0.0445          nan          nan          nan          nan  
  10468    3212.0840     476.5940          nan       0.0213          nan          nan       1.7956       0.1550          nan          nan  
  10469    4000.6410    3557.8030          nan          nan          nan          nan          nan          nan          nan          nan  
  10470    1106.0670    4001.8820      19.3820       0.0175       1.4325       0.0626          nan          nan          nan          nan  
  10471    3023.7840     776.5100          nan          nan          nan          nan          nan          nan          nan          nan  
