     ID            x            y            V           eV           BV          eBV           VI          eVI           UB          eUB  
    112    1664.4070    2616.2260      12.8934       0.0160       1.3825       0.0464       1.2997       0.0199       0.8710       0.0267  
    113    3918.9650    3335.2310      13.3413       0.0260       0.6309       0.0586       0.6733       0.0329       0.1289       0.0249  
    114    1722.5640    1782.2150      13.0974       0.0091       0.6431       0.0300       0.5842       0.0137      -0.1207       0.0192  
    115    3630.8260    3952.5500          nan       0.0280          nan          nan       0.5635       0.0338          nan          nan  
    116    3899.1980    3143.9070      13.2356       0.0210       0.6993       0.0549       0.6418       0.0274       0.1916       0.0270  
    117    2695.5490    2194.0190      13.1955       0.0130       1.9022       0.0378       1.8613       0.0186       1.1177       0.0261  
    118     305.0420      98.6020      12.6244       0.0440       1.2812       0.0998          nan          nan       1.0110       0.0468  
    119    4036.2180    2652.6910          nan       0.0166          nan          nan       0.6130       0.0221          nan          nan  
    120     847.4220    1555.8340      12.9537       0.0240       0.6822       0.0769       0.8110       0.0287       0.0663       0.0446  
    121    3194.7600     926.7850          nan       0.0110          nan          nan       0.9442       0.0157          nan          nan  
    122    3107.6430     397.9170          nan       0.0120          nan          nan       0.8407       0.0205          nan          nan  
    123    2721.1860    1369.9340      13.4123       0.0210       0.6444       0.0683       0.5014       0.0309       0.2151       0.0380  
    124      42.7150    2920.2190          nan       0.0240          nan          nan       0.6382       0.0390          nan          nan  
    125    3316.2950    3612.8460      13.1391       0.0151       0.9811       0.0417       0.7201       0.0228       0.2395       0.0247  
    126    2631.7710    4076.8930          nan       0.0240          nan          nan          nan          nan          nan          nan  
    127     212.1370    1417.0900          nan       0.0240          nan          nan       0.5824       0.0339          nan          nan  
    128    3376.7980     550.4900          nan       0.0100          nan          nan       0.5761       0.0147          nan          nan  
    129    1394.0990     969.7230      13.9207       0.0156       2.3780       0.0440       3.1258       0.0251       0.8964       0.0365  
    130    1197.5070    2049.9370      12.9439       0.0160       0.6944       0.0512       0.7075       0.0202       0.2317       0.0311  
    131     415.5440     355.8590          nan       0.1280          nan          nan       3.2653       0.1404          nan          nan  
    132    3527.4960    2630.5450      13.1201       0.0150       1.8070       0.0349       1.7515       0.0207       1.2880       0.0208  
    133    3617.0280     816.2470          nan       0.0091          nan          nan       0.6094       0.0145          nan          nan  
    134    1259.9950    2124.1360      12.9494       0.0190       0.6724       0.0476       0.6985       0.0224      -0.0072       0.0257  
    135     190.1290    2364.6420          nan       0.0170          nan          nan       0.9289       0.0265          nan          nan  
    136     878.9470    3830.6100          nan          nan          nan          nan          nan          nan      -0.3253       0.2052  
    137    2868.9580    2254.1750      13.1272       0.0092       0.7773       0.0344       0.6634       0.0156       0.3061       0.0257  
    138    4051.0560    2540.7490          nan       0.0150          nan          nan       0.4582       0.0196          nan          nan  
    139     298.8420    4063.7650      12.5600       0.0370       2.0413       0.0909       2.0917       0.0724       1.5132       0.0563  
    140    3299.6110    2967.9470      13.2079       0.0170       0.6797       0.0427       0.5554       0.0253       0.2581       0.0261  
    141    1774.4890    3380.2000          nan       0.0150          nan          nan       2.3743       0.0192          nan          nan  
    142     789.8710    3217.0460      13.1266       0.0130       0.9738       0.0622       0.9100       0.0210       0.7378       0.0411  
    143    3716.1500    1026.4300          nan       0.0100          nan          nan       0.7597       0.0155          nan          nan  
    144    2246.2380    3925.9490      12.7204       0.0250       0.6151       0.0708       0.4879       0.0300       0.0428       0.0439  
    145     282.9240    3674.0850      13.4179       0.0300       0.6505       0.0891       0.6841       0.0455       0.3149       0.0519  
    146    2658.6080    1606.6410      13.3105       0.0092       0.6858       0.0503       0.6760       0.0152       0.1309       0.0355  
    147    4086.0070     749.5380          nan       0.0091          nan          nan          nan          nan          nan          nan  
    148    2676.3980    2864.2150      13.0641       0.0113       1.1690       0.0331       1.0225       0.0160       0.9709       0.0230  
    149    1519.6610    1311.3470      14.2418       0.0166       2.5512       0.0370       2.8459       0.0217       0.9268       0.0280  
    150     302.5810     792.4840          nan       0.2150          nan          nan       3.2599       0.2239          nan          nan  
    151     996.7950     892.2140      13.4641       0.0200       1.3727       0.0592       1.5643       0.0293       0.5861       0.0419  
    152     706.4330     840.7480      13.0491       0.0200       2.1120       0.0625       2.1988       0.0401       1.4486       0.0476  
    153    3263.7570    3960.0350      13.4441       0.0260       0.5028       0.0634       0.4510       0.0325       0.1044       0.0298  
    154     367.9440    1450.3830          nan       0.0200          nan          nan       0.6328       0.0288          nan          nan  
    155     596.6920     190.2470      14.0198       0.0340       0.6236       0.0728          nan          nan       0.3022       0.0311  
    156     796.6630    3460.8730      13.4490       0.0150       0.7651       0.0671       0.7867       0.0241       0.2621       0.0445  
    157    2096.4970    3571.5520      13.4017       0.0111       1.7692       0.0401       1.4716       0.0149       1.1637       0.0308  
    158    2118.6730    1558.5650      13.1958       0.0150       0.6956       0.0426       0.5779       0.0182       0.0956       0.0226  
    159     340.6890     750.2720      13.1938       0.0300       1.2470       0.0673       1.2538       0.0426       0.9356       0.0347  
    160     123.2560     131.3490      13.7722       0.0430       5.5878       0.3196       2.0188       0.0600          nan          nan  
    161    1914.6690    3980.4620          nan       0.0260          nan          nan       1.5877       0.0310          nan          nan  
    162    1715.4570    3779.7410      15.9739       0.2510      -1.4797       0.3376          nan          nan          nan          nan  
    163    1442.5550    3841.0380      13.1098       0.0220       0.6810       0.0720       0.6274       0.0314       0.1935       0.0533  
    164    1397.1390    1006.5400      13.5870       0.0260       1.6923       0.0588       1.6813       0.0320       1.0345       0.0348  
    165    2265.0600    3835.6570      13.0792       0.0250       0.8347       0.0719       0.7453       0.0300       0.1456       0.0429  
    166    3466.7960    2274.2550      13.2510       0.0130       0.5907       0.0390       0.4825       0.0179       0.1152       0.0239  
    167    3179.4900    3279.5010      13.3423       0.0190       0.7029       0.0500       0.6454       0.0264       0.2944       0.0290  
    168    2162.2070     376.8610      13.2183       0.0290       2.5732       0.2159       0.8767       0.0405      -0.9568       0.1472  
    169     243.8410    1743.0590          nan       0.0240          nan          nan       2.3149       0.0346          nan          nan  
    170    2647.1840      24.9570          nan       0.0164          nan          nan       3.2401       0.0313          nan          nan  
    171     315.7680    2409.3980          nan       0.0220          nan          nan       0.6247       0.0306          nan          nan  
    172    3286.7680     987.5550          nan       0.0140          nan          nan       0.8497       0.0189          nan          nan  
    173    3778.6800    2486.5240          nan       0.0140          nan          nan          nan          nan          nan          nan  
    174     871.6540    3836.7020          nan       0.2070          nan          nan          nan          nan          nan          nan  
    175     385.4230      89.8430      14.4087       0.0230       0.2479       0.0637          nan          nan       0.2170       0.0366  
    176    2828.2230    3165.7490      13.5549       0.0200       1.6362       0.0433       1.6237       0.0248       1.0815       0.0238  
    177    2834.0620    1364.8610      13.6259       0.0180       1.7521       0.2025       0.5554       0.0287      -0.5926       0.1401  
    178    3209.4990    3362.4770      13.3400       0.0220       1.4898       0.0512       1.4023       0.0291       0.9111       0.0268  
    179    2985.7860    3933.9500      13.5296       0.0161       2.1181       0.0465       1.9891       0.0220       1.3399       0.0292  
    180     728.4880     270.8140      14.1335       0.0270       0.7432       0.0631          nan          nan       0.1965       0.0311  
    181    1940.9940     235.4040      13.6252       0.0219       0.5455       0.0792       0.7408       0.0349       0.2875       0.0518  
    182     992.9270     766.1630      13.3962       0.0200       0.7334       0.0720       0.7705       0.0300       0.2640       0.0506  
    183    1389.5640     929.1270      13.1867       0.0127       0.7847       0.0473       0.5248       0.0194      -0.1198       0.0381  
    184    2454.2940    3712.2850      14.7931       0.0159       2.5317       0.0417       2.9098       0.0198       0.9464       0.0305  
    185    2963.5980     631.4700      13.4536       0.0190       2.2779       0.1427       0.8542       0.0282      -0.9353       0.0984  
    186     749.4930    1006.4630      13.5964       0.0240       1.4264       0.0667       1.4635       0.0331       0.8485       0.0446  
    187     125.9690     857.1250      14.1167       0.0290       0.6822       0.0608          nan          nan       0.3511       0.0300  
    188    1909.5840     893.1510      13.5303       0.0300       0.8774       0.0769       0.9253       0.0377       0.1925       0.0412  
    189     113.2230    3802.9880      13.8084       0.0360       0.7163       0.0882       0.8389       0.0537       0.1886       0.0479  
    190    1325.6840     907.8630      13.2487       0.0190       0.6529       0.0671       0.5914       0.0258       0.2082       0.0454  
    191    1343.6990    1075.7550      13.4206       0.0270       0.9311       0.0720       0.9955       0.0326       0.4285       0.0409  
    192    4023.7590    3243.1050      13.8490       0.0220       0.5919       0.0573       0.6175       0.0288       0.1367       0.0279  
    193    2593.2110     586.2000      13.5490       0.0220       0.7224       0.0793       0.6382       0.0322       0.1132       0.0506  
    194    1310.4220    3938.9090      13.3669       0.0180       0.7237       0.0676       0.6715       0.0291       0.2405       0.0559  
    195    1939.9300    1636.9710      13.3927       0.0140       0.5516       0.0326       0.4546       0.0170       0.2278       0.0157  
    196     566.5730      75.4150      14.3040       0.0390       0.5041       0.0825          nan          nan       0.3688       0.0350  
    197    1785.3730    3239.5710      13.3096       0.0130       0.6980       0.0366       0.5482       0.0172       0.1181       0.0227  
    198    1747.0570     149.7580      14.1760       0.0280       2.2731       0.0643       2.4256       0.0418          nan          nan  
    199     304.8560     357.0220      14.2829       0.0230       0.5492       0.0537          nan          nan       0.3453       0.0257  
    200     605.1660    2395.3670      13.2892       0.0200       2.0669       0.0587       2.1619       0.0333       1.3869       0.0378  
    201     569.3160    2318.9370      13.3901       0.0210       0.6187       0.0805       0.5788       0.0276       0.0898       0.0512  
    202    3023.3690     417.9920          nan       0.0122          nan          nan       0.7957       0.0215          nan          nan  
    203    2983.2230    1259.8110      13.5060       0.0200       1.9254       0.0456       1.9072       0.0290       1.2058       0.0269  
    204    2504.4200    1206.3440      13.8223       0.0152       0.8188       0.0559       0.7957       0.0234       0.2963       0.0332  
