#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
94         3470.69 2463.87 12.556  0.015   0.678   0.027   0.182   0.023   0.613   0.015  
95         554.695 129.228 13.463  0.040   0.543   0.064   0.457   0.049   INDEF   INDEF  
96         3934.78 1574.77 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
97         2825.51 1460.47 13.109  0.016   0.586   0.045   -0.160  0.044   0.485   0.018  
98         2689.88 731.022 12.510  0.025   1.575   0.058   0.804   0.053   1.559   0.028  
99         518.606 2568.77 13.927  0.160   -0.057  0.186   1.297   0.059   2.585   0.153  
100        793.858 258.717 13.498  0.029   0.628   0.051   0.295   0.043   INDEF   INDEF  
101        2945.12 2017.58 12.901  0.012   1.663   0.033   0.989   0.033   1.529   0.012  
102        1224.12 1742.08 12.715  0.016   0.669   0.037   -0.074  0.035   0.658   0.017  
103        3524.30 3608.12 12.611  0.025   1.548   0.039   1.160   0.030   1.434   0.025  
104        1477.33 2983.80 12.808  0.012   0.579   0.028   0.051   0.026   0.437   0.012  
105        811.493 1643.39 13.274  0.025   1.930   0.044   1.364   0.038   1.993   0.025  
106        452.706 2639.96 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
107        2949.27 3823.17 12.782  0.032   0.558   0.053   -0.227  0.042   0.544   0.031  
108        3306.02 1650.67 12.907  0.012   1.184   0.023   0.499   0.022   1.142   0.013  
109        2084.42 3246.04 13.255  0.014   2.208   0.024   1.321   0.023   2.285   0.015  
110        672.304 3147.92 13.162  0.016   0.599   0.049   0.201   0.048   0.630   0.018  
111        3236.90 1609.33 13.103  0.011   0.727   0.024   -0.047  0.024   0.759   0.013  
112        1664.41 2616.23 12.896  0.017   1.374   0.033   0.882   0.029   1.281   0.017  
113        3918.97 3335.23 13.341  0.028   0.631   0.041   0.131   0.028   0.663   0.028  
114        1722.56 1782.21 13.097  0.010   0.643   0.022   -0.152  0.020   0.568   0.011  
115        3630.83 3952.55 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
116        3899.20 3143.91 13.235  0.023   0.698   0.038   0.194   0.031   0.626   0.023  
117        2695.55 2194.02 13.200  0.014   1.888   0.027   1.101   0.026   1.844   0.015  
