
# Sun 12:05:37 24-Dec-2017
# List of observations files:
#		daom.obs
# Config:	bh73.cfg
# Parameters:	bh73.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)


118        305.042 98.602  12.626  0.048   1.281   0.071   1.015   0.049   INDEF   INDEF  
119        4036.22 2652.69 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
120        847.422 1555.83 12.957  0.026   0.682   0.056   0.042   0.049   0.822   0.026  
121        3194.76 926.785 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
122        3107.64 397.917 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
123        2721.19 1369.93 13.416  0.023   0.644   0.050   0.210   0.044   0.497   0.024  
124        42.715  2920.22 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
125        3316.29 3612.85 13.141  0.017   0.981   0.030   0.198   0.025   0.705   0.018  
126        2631.77 4076.89 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
127        212.137 1417.09 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
128        3376.80 550.490 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
129        1394.10 969.723 13.918  0.017   2.379   0.031   0.760   0.033   3.162   0.019  
130        1197.51 2049.94 12.947  0.018   0.694   0.037   0.223   0.033   0.712   0.017  
131        415.544 355.859 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
132        3527.50 2630.54 13.120  0.016   1.807   0.025   1.259   0.020   1.743   0.017  
133        3617.03 816.247 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
134        1259.99 2124.14 12.953  0.021   0.672   0.034   -0.038  0.026   0.704   0.020  
135        190.129 2364.64 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
136        878.947 3830.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
137        2868.96 2254.18 13.130  0.010   0.777   0.026   0.295   0.025   0.659   0.012  
138        4051.06 2540.75 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
139        298.842 4063.76 12.559  0.040   2.042   0.064   1.480   0.054   2.088   0.052  
140        3299.61 2967.95 13.211  0.019   0.680   0.030   0.254   0.025   0.551   0.020  
141        1774.49 3380.20 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
142        789.871 3217.05 13.129  0.015   0.974   0.049   0.749   0.047   0.907   0.016  
143        3716.15 1026.43 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
144        2246.24 3925.95 12.724  0.027   0.615   0.051   0.024   0.044   0.484   0.027  
145        282.924 3674.08 13.421  0.033   0.651   0.064   0.320   0.055   0.690   0.035  
146        2658.61 1606.64 13.314  0.010   0.686   0.041   0.113   0.040   0.679   0.012  
147        4086.01 749.538 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
148        2676.40 2864.22 13.066  0.012   1.169   0.024   0.983   0.022   1.013   0.013  
149        1519.66 1311.35 14.239  0.018   2.552   0.026   0.773   0.025   2.853   0.018  
150        302.581 792.484 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
151        996.795 892.214 13.465  0.022   1.373   0.042   0.535   0.040   1.574   0.023  
152        706.433 840.748 13.048  0.022   2.112   0.045   1.400   0.045   2.196   0.029  
153        3263.76 3960.03 13.448  0.028   0.503   0.045   0.105   0.033   0.453   0.028  
154        367.944 1450.38 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
